NO,KODE ACCURATE,NAMA BARANG,UPC/BARCODE,NAMA KATEGORI,NAMA BRAND,STATUS,STOK
1,100023,AC AQUA 1 PK AQA-CR9FQAL (O),,AC (AIR CONDITIONER),AQUA,YA,0
2,100019,AC AQUA 1 PK AQA-KR9FQAL (I),,AC (AIR CONDITIONER),,YA,0
3,100021,AC AQUA 1/2 PK AQA-CR5FQDL (O),,AC (AIR CONDITIONER),,YA,0
4,100020,AC AQUA 1/2 PK AQA-KR5FQDL (I),,AC (AIR CONDITIONER),AQUA,TIDAK,0
5,100018,AC AQUA 2PK AQA-CR18FQAL (O),,AC (AIR CONDITIONER),AQUA,TIDAK,0
6,100017,AC AQUA 2PK AQA-KR18FQAL (I),,AC (AIR CONDITIONER),AQUA,TIDAK,0
7,100820,ACER ASPIRE 3 SLIM A314 RYZEN 7 5700 16GB 512GB W11+OHS 14.0 IPS SLV -42P.R7E5,4711121814983,LAPTOP,ACER,YA,0
8,100560,ACER ASPIRE 3 SLIM A314-36M-37EE I3-N305 8GB 512GB 14″ FHD Win 11 Home+OHS 2021- SILVER,4711121759833,LAPTOP,ACER,YA,0
9,100424,ACER ASPIRE GO 14 AG14 I3 N305 8CORE 8GB 256GB W11+OHS 14.0WUXGA SLV -31P.34GM,,LAPTOP,ACER,YA,0
10,100450,ACER ASPIRE GO 14 AG14 N305 8CORE 8GB 512GB W11+OHS 14.0WUXGA SILVER -31P,4711474115690,LAPTOP,ACER,YA,0
11,100014,ACER ASPIRE LITE AL14 I3 1215 8GB 256GB W11+OHS 14.0WUXGA IPS SILVER,,LAPTOP,ACER,YA,0
12,100463,ACER ASPIRE LITE AL14 I5 1235 16GB 512GB W11+OHS 14.0WUXGA IPS SLV -51M.58U1,,LAPTOP,ACER,YA,0
13,100821,ACER ASPIRE LITE AL14 I5 1334 16GB 512GB W11+OHS 14.0WUXGA IPS SLV -52M.59TF,4711474204097,LAPTOP,ACER,YA,0
