id,kode_accurate,woo_product_id,woo_sku_full,woo_name,is_active,created_at,updated_at,confidence_score,match_method,woo_variation_id,needs_review,triggered_by
1,2510000259,25298,Single : 2510000258 / 2510000259 | Grup : 2511000108 / 2511000109,CASING ARMAGGEDDON AQUARON X CURVE 285 DUAL CHAMBER (BUNDLE FREE EACH COLOUR) - mATX,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
2,100418,23834,2503000104 / 100418,MONITOR SAMSUNG ODYSSEY G5 G55C 27″ CURVED VA QHD (2560×1440) 165Hz – (LS27CG552EEXXD),true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,95,sku_multi,,false,
3,100859,17479,2504000396 / 100859,"MONITOR ASUS TUF VG259Q3A 25"" FLAT IPS FHD (1920x1080) 180Hz 99% sRGB",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,95,sku_multi,,false,
4,101154,16773,101154,MSI MINI PC CUBI 5 12M-225BID-W51235UXX i5-1235U BAREBONE BLACK,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
5,100808,16769,100808,MSI MINI PC CUBI 5 12M-240BID-B31215UXX i3-1215U BAREBONE BLACK,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
6,100807,16761,100807,MSI MINI PC CUBI N ADL S-207BID-BN100XX CELERON N100 BAREBONE BLACK,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
7,101548,15725,101548,"MONITOR LG 25MS500-B 25"" FLAT IPS FHD (1920x1080) 100Hz",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
8,100416,15176,100416,"MONITOR SAMSUNG ODYSSEY G4 25"" FLAT IPS FHD (1920x1080) 240HZ 99% sRGB - (S25BG400EE)",true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
9,101556,14721,101556,MOTHERBOARD MSI B850 GAMING PLUS WIFI AM5 DDR5 - ATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
10,101553,14606,101553,"MONITOR MSI MAG 275QF 27"" FLAT IPS WQHD (2560x1440) 180Hz 100% sRGB",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
11,101297,14589,101297,"MONITOR MSI MAG 276CXF 27"" CURVED VA FHD (1920x1080) 280Hz 100% sRGB",true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
12,101555,14583,101555,"MONITOR MSI MAG 32CQ6F 32"" CURVED VA WQHD (2560X1440) 180Hz 100% sRGB",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
13,101529,14549,101529,MOTHERBOARD ASUS ROG STRIX B760-I GAMING WIFI DDR5 LGA1700 - mITX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
14,101536,14523,101536,MOTHERBOARD ASUS ROG STRIX B850-F GAMING WIFI DDR5 AM5 - ATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
15,100113,14455,100113,"MONITOR MSI MAG 32C6X 31.5"" CURVED VA FHD (1920x1080) 250Hz",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
16,101353,13991,101353,MOTHERBOARD ASROCK X870E NOVA WIFI PHANTOM GAMING AM5 - ATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
17,100853,13878,100853,"MONITOR THINKVISION M14T PORTABLE TOUCHSCREEN 14"" IPS FHD (1920x1080) 60Hz 72% NTSC",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
18,100852,13833,100852,"MONITOR THINKVISION M15 15.6"" PORTABLE IPS FHD (1920x1080) 60Hz 45% NTSC",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
19,101295,13812,101295,"[EOL] MONITOR MSI G273CQ 27"" CURVED VA WQHD (2560x1440) 170Hz 100% sRGB",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:04:44.472042+00,100,sku_exact,,false,
20,101323,13669,101323,MOTHERBOARD GIGABYTE Z790 S WIFI LGA1700 DDR4 - ATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
21,101419,13635,101419,MOTHERBOARD ASUS TUF GAMING B760M-PLUS WIFI II LGA1700 DDR5 - mATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
22,101339,13376,101339,MOTHERBOARD ASROCK Z790 PRO RS LGA1700 DDR5 - ATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
23,101338,13371,101338,MOTHERBOARD ASROCK Z890 PRO-A LGA1851 - ATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
24,101360,13353,101360,MOTHERBOARD ASROCK X670E PG LIGHTNING AM5 - ATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
25,101314,13240,101314,"MONITOR LG ULTRAGEAR 27GQ50F-B 27"" FLAT VA FHD (1920x1080) 165Hz 72% NTSC",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
26,101535,13213,2508000054 / 101535,MOTHERBOARD ASUS PRIME B650M-A II WIFI AM5 - mATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,95,sku_multi,,false,
27,100984,11962,100984,MOTHERBOARD MSI PRO H610M-E DDR5 LGA1700,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
28,101153,11596,101153,"MONITOR MSI PRO MP223 E2 22"" FLAT VA FHD (1920x1080) 100Hz 99% sRGB",true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
29,100142,11495,100142,MOTHERBOARD GIGABYTE B760M DS3H DDR5 LGA1700 – mATX,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
30,100979,11484,100979,MOTHERBOARD ASUS PRIME A520M-K AM4 DDR4 - mATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
31,100825,11413,100825,MOTHERBOARD GIGABYTE B760M GAMING WIFI PLUS DDR5 LGA1700 - mATX,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
32,101109,11362,101109,MOTHERBOARD MSI B450M-A PRO MAX II AM4,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
33,101287,11020,101287,MOTHERBOARD GIGABYTE A620M GAMING X AM5 - mATX,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
